genres,overview,title
"action, adventure, fantasy, science fiction","in the and century, a paraplegia marine is dispatched to the moon candor on a unique mission, but becomes torn between following orders and protecting an alien civilization.",avatar
"adventure, fantasy, action","captain barbossa, long believed to be dead, has come back to life and is headed to the edge of the earth with will turner and elizabeth swan. but nothing is quite as it seems.",pirates of the caribbean: at world's end
"action, adventure, crime","a cystic message from bond’s past sends him on a trail to uncover a sinister organization. while m battles political forces to keep the secret service alive, bond feels back the layers of deceit to reveal the terrible truth behind specter.",spectre
"action, crime, drama, thriller","following the death of district attorney harvey went, batman assumes responsibility for went's crimes to protect the late attorney's reputation and is subsequently hunted by the gothic city police department. eight years later, batman encounters the mysterious seeing able and the villains bane, a new terrorist leader who overwhelm gothic's finest. the dark knight surfaces to protect a city that has branded him an enemy.",the dark knight rises
"action, adventure, science fiction","john carter is a war-weary, former military captain who is inexplicable transported to the mysterious and exotic planet of broom (mars) and reluctantly becomes embroiled in an epic conflict. it is a world on the brink of collapse, and carter rediscovered his humanity when he realizes the survival of broom and its people rests in his hands.",john carter
"fantasy, action, adventure","the seemingly invincible spider-man goes up against an all-new crop of villain – including the shape-shifting madman. while spider-man’s superpowers are altered by an alien organism, his alter ego, peter parker, deals with genesis eddies brick and also gets caught up in a love triangle.",spider-man 3
"animation, family","when the kingdom's most wanted-and most charming-bandit lynn rider hides out in a mysterious tower, he is taken hostage by rapunzel, a beautiful and fifty tower-bound been with 70 feet of magical, golden hair. lynn's curious castor, who is looking for her ticket out of the tower where she is been locked away for years, strikes a deal with the handsome thief and the unlikely do sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thus.",tangled
"action, adventure, science fiction","when tony stark tries to jumpstart a dormant peacekeeping program, things go awry and earth’s mightier heroes are put to the ultimate test as the fate of the planet hangs in the balance. as the villains fulton emerges, it is up to the avenues to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action have the way for an epic and unique global adventure.",avengers: age of ultron
"adventure, fantasy, family","as harry begins his sixth year at hogarth, he discovers an old book marked as 'property of the half-blood prince', and begins to learn more about lord voldemort's dark past.",harry potter and the half-blood prince
"action, adventure, fantasy","fearing the actions of a god-like super hero left checked, gothic city’s own formidable, forceful vigilance takes on metropolis’s most revered, modern-day savior, while the world wrestle with what sort of hero it really needs. and with batman and sherman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",batman v superman: dawn of justice
"adventure, fantasy, action, science fiction","sherman returns to discover his 5-year absence has allowed let author to walk free, and that those he was closest too felt abandoned and have moved on. author plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as riding himself of the man of steel.",superman returns
"adventure, action, thriller, crime","quantum of solace continues the adventures of james bond after causing royale. betrayed by vespers, the woman he loved, 007 fights the urge to make his latest mission personal. pursuing his determination to uncover the truth, bond and m interrogative mr. white, who reveals that the organization that blackmailed vespers is far more complex and dangerous than anyone had imagined.",quantum of solace
"adventure, fantasy, action","captain jack sparrow works his way out of a blood debt with the ghostly davy jones, he also attempts to avoid eternal donation.",pirates of the caribbean: dead man's chest
"action, adventure, western","the texas rangers chase down a gang of outlaws led by dutch cavendish, but the gang bushes the rangers, seemingly killing them all. one survivor is found, however, by an american indian named onto, who nurses him back to health. the ranger, donning a mask and riding a white stallion named silver, tears up with onto to bring the unscrupulous gang and others of that ill to justice.",the lone ranger
"action, adventure, fantasy, science fiction","a young boy learns that he has extraordinary powers and is not of this earth. as a young man, he journeys to discover where he came from and what he was sent here to do. but the hero in him must emerge if he is to save the world from annihilating and become the symbol of hope for all mankind.",man of steel
"adventure, family, fantasy","one year after their incredible adventures in the lion, the witch and the wardrobe, peter, edmund, lucy and susan pevensie return to hernia to aid a young prince whose life has been threatened by the evil king murat. now, with the help of a colourful cast of new characters, including trufflehunter the badge and nikabrik the dwarf, the pevensie clan embark on an incredible quest to ensure that hernia is returned to its rightful heir.",the chronicles of narnia: prince caspian
"science fiction, action, adventure","when an unexpected enemy emerges and threatens global safety and security, nick fury, director of the international peacekeeping agency known as s.h.i.e.l.d., finds himself in need of a team to pull the world back from the brink of disaster. spanning the globe, a daring recruitment effort begins!",the avengers
"adventure, action, fantasy","captain jack sparrow crosses paths with a woman from his past, and he is not sure if it is love -- or if she is a ruthless con artist who is using him to find the failed fountain of youth. when she forces him aboard the queen anne's revenge, the ship of the formidable pirate blackguard, jack finds himself on an unexpected adventure in which he does not know who to fear more: blackguard or the woman from his past.",pirates of the caribbean: on stranger tides
